audience,budget,casting,countries,duration_s,end_year,genres,id,kind,metacritic_score,original_title,poster_link,rating,release_year,synopsis,title,vote_count,worldwide_gross
TV-PG,,"Gordon Cormier, Kiawentiio, Ian Ousley, Dallas Liu, Paul Sun-Hyung Lee, Daniel Dae Kim, Matthew Yang King, Ken Leung, Ruy Iskandar, Elizabeth Yu, Lim Kay Siu, Utkarsh Ambudkar, Amber Midthunder, Casey Camp-Horinek, Thalia Tran, Momona Tamada, Ryan Mah, Meadow Kingfisher",United States,3300,,"Action, Adventure, Comedy",tt9018736,TV Series,,Avatar: The Last Airbender,https://m.media-amazon.com/images/M/MV5BMTViNTY2MjMtYmUwOC00ZGYxLThjOWEtYjNjZWU3MTYwYzZmXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_.jpg,7.3,2024,"A young boy known as the Avatar must master the four elemental powers to save the world, and fight against an enemy bent on stopping him.",Avatar: The Last Airbender,58150,
R,21098470,"Jeffrey Wright, Tracee Ellis Ross, John Ortiz, Erika Alexander, Leslie Uggams, Adam Brody, Keith David, Issa Rae, Sterling K. Brown, Myra Lucretia Taylor, Raymond Anthony Thomas, Okieriete Onaodowan, Miriam Shor, Michael Cyril Creighton, Patrick Fischler, Neal Lerner, J.C. MacKenzie, Jenn Harris",United States,7020,,"Comedy, Drama",tt23561236,Movie,81,American Fiction,https://m.media-amazon.com/images/M/MV5BZDlkZmRlYTctNGJmNy00MjVkLThjZDQtMWY5Zjg2NjlhZDZkXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg,7.6,2023,A novelist who's fed up with the establishment profiting from Black entertainment uses a pen name to write a book that propels him into the heart of the hypocrisy and madness he claims to disdain.,American Fiction,58116,22483370
,,"Ella Purnell, Aaron Moten, Walton Goggins, Moises Arias, Johnny Pemberton, Kyle MacLachlan, Xelia Mendes-Jones, Dave Register, Rodrigo Luzzi, Leer Leary, Annabel O'Hagan, Aixa Kendrick, Cherien Dabis, Christopher Parker, Michael Esper, Sheila Head, Harry Sutton Jr., Daniel J. Martin",United States,,,"Action, Adventure, Drama",tt12637874,TV Series,,Fallout,https://m.media-amazon.com/images/M/MV5BZjQ0YjAyNWQtMjRjMC00NzMxLTlkNjEtYWQzNmQwNGRlMGJkXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg,,2024,"In a future, post-apocalyptic Los Angeles brought about by nuclear decimation, citizens must live in underground bunkers to protect themselves from radiation, mutants and bandits.",Fallout,0,
TV-14,,"Pablo Schreiber, Shabana Azmi, Natasha Culzac, Olive Gray, Yerin Ha, Natascha McElhone, Bentley Kalu, Kate Kennedy, Charlie Murphy, Danny Sapani, Jen Taylor, Bokeem Woodbine, Fiona O'Shaughnessy, Tylan Bailey, Joseph Morgan, Christina Bennington, Cristina Rodlo, Ryan McParland",United States,3600,,"Action, Adventure, Sci-Fi",tt2934286,TV Series,,Halo,https://m.media-amazon.com/images/M/MV5BOTZkNjllMzYtY2ZiNi00YTdkLTg0OTEtZTgzOGY5Njc3NmNiXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_.jpg,7.3,2022,"With the galaxy on the brink of destruction, Master Chief John-117 leads his team of Spartans against the alien threat known as the Covenant.",Halo,86017,
R,22000000,"Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong, Lyne Renée, Colin Farrell, Henry Golding, Tom Wu, Chidi Ajufo, Hugh Grant, Simon R. Barker, Eddie Marsan, Jason Wong, John Dagleish, Jordan Long, Lily Frazer, Gershwyn Eustache Jnr, Samuel West","United States, United Kingdom",6780,,"Action, Crime",tt8367814,Movie,51,The Gentlemen,https://m.media-amazon.com/images/M/MV5BMTlkMmVmYjktYTc2NC00ZGZjLWEyOWUtMjc2MDMwMjQwOTA5XkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_.jpg,7.8,2019,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",The Gentlemen,390287,115175729
TV-MA,,"Vince Vaughn, Colin Farrell, Rachel McAdams, Taylor Kitsch, Matthew McConaughey, Mahershala Ali, Woody Harrelson, Carmen Ejogo, Michelle Monaghan, Stephen Dorff, Michael Potts, Kelly Reilly, Scoot McNairy, Tory Kittles, Ray Fisher, Chris Kerson, Ritchie Coster, Sarah Gadon",United States,3300,,"Crime, Drama, Mystery",tt2356777,TV Series,,True Detective,https://m.media-amazon.com/images/M/MV5BNTEzMzBiNGYtYThiZS00MzBjLTk5ZWItM2FmMzU3Y2RjYTVlXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_.jpg,8.9,2014,"Anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.",True Detective,650897,
PG-13,13000000,"DeWanda Wise, Taegen Burns, Pyper Braun, Betty Buckley, Tom Payne, Veronica Falcón, Samuel Salary, Matthew Sato, Alix Angelis, Wanetah Walmsley, Rhythm Hurd, Shawn Sanz, Lawrence J. Weber Jr., Noah Martinez, Lilly Sunshine, Cecilia Leal, Eduardo Campirano, Michael Bekemeier",United States,6240,,"Horror, Mystery, Thriller",tt26658104,Movie,34,Imaginary,https://m.media-amazon.com/images/M/MV5BODIzOTJiODUtNzM2MC00YjdjLTg5YTktZWZhNjY1N2I5NWRjXkEyXkFqcGdeQXVyMjY5ODI4NDk@._V1_.jpg,4.8,2024,A woman returns to her childhood home to discover that the imaginary friend she left behind is very real and unhappy that she abandoned him.,Imaginary,3701,24919671
R,11425829,"Barry Keoghan, Jacob Elordi, Rosamund Pike, Richard E. Grant, Archie Madekwe, Sadie Soverall, Richie Cotterell, Millie Kent, Will Gibson, Tasha Lim, Aleah Aberdeen, Matt Carver, Ewan Mitchell, Reece Shearsmith, Gabriel Bisset-Smith, Saga Spjuth-Säll, Glyn Grimstead, Paul Rhys","United Kingdom, United States",7860,,"Drama, Thriller",tt17351924,Movie,61,Saltburn,https://m.media-amazon.com/images/M/MV5BM2NmMDQ1ZWEtNDU4OS00MGIxLWEyMGMtMTM2YmFkYzNhYmMxXkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_.jpg,7.0,2023,"A student at Oxford University finds himself drawn into the world of a charming and aristocratic classmate, who invites him to his eccentric family's sprawling estate for a summer never to be forgotten.",Saltburn,192820,21057954
TV-MA,,"Noomi Rapace, Jonathan Banks, James D'Arcy, Rosie Coleman, Davina Coleman, Julian Looman, William Catlett, Barbara Sukowa, Henry David, Chipo Chung, Sadie Sweet, Lenn Kudrjawizki, Rebecca Scroggs, Carole Weyers, Sandra Teles, Bettina Hoppe, Eleanor Fanyinka, Clare-Hope Ashitey","United States, United Kingdom, France",,,"Sci-Fi, Thriller",tt19395018,TV Series,,Constellation,https://m.media-amazon.com/images/M/MV5BMDEzMjE3MTItMzYyNi00NTJmLWJiMjEtODgxYTcxZWJhNTAxXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_.jpg,7.0,2024,"Jo returns to earth after a disaster in space and discovers that there are missing pieces in her life, so she sets out to expose the truth about the hidden secrets of space travel and recover what she has lost.",Constellation,6250,
TV-MA,,"Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt, RJ Mitte, Dean Norris, Bob Odenkirk, Steven Michael Quezada, Jonathan Banks, Giancarlo Esposito, Charles Baker, Jesse Plemons, Christopher Cousins, Laura Fraser, Matt Jones, Michael Shamus Wiles, Lavell Crawford, Ray Campbell",United States,2700,2013,"Crime, Drama, Thriller",tt0903747,TV Series,,Breaking Bad,https://m.media-amazon.com/images/M/MV5BYmQ4YWMxYjUtNjZmYi00MDQ1LWFjMjMtNjA5ZDdiYjdiODU5XkEyXkFqcGdeQXVyMTMzNDExODE5._V1_.jpg,9.5,2008,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.,Breaking Bad,2118504,
TV-MA,,"Larry David, Cheryl Hines, Jeff Garlin, Susie Essman, J.B. Smoove, Richard Lewis, Ted Danson, Bob Einstein, Ashly Holloway, Shelley Berman, Antoinette Spolar, Vivica A. Fox, Vince Vaughn, Ellia English, Carla Jeffery, Nick Nervies, Ann Ryerson, Wanda Sykes",United States,1680,2024,Comedy,tt0264235,TV Series,,Curb Your Enthusiasm,https://m.media-amazon.com/images/M/MV5BZDY1ZGM4OGItMWMyNS00MDAyLWE2Y2MtZTFhMTU0MGI5ZDFlXkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_.jpg,8.8,2000,Larry David stars as an over-the-top version of himself in this comedy series that shows how seemingly trivial details of day-to-day life can precipitate a catastrophic chain of events.,Curb Your Enthusiasm,144181,
PG-13,11185625,"Greta Lee, Teo Yoo, John Magaro, Moon Seung-ah, Leem Seung-min, Ji Hye Yoon, Choi Won-young, Ahn Min-Young, Seo Yeon-Woo, Kiha Chang, Shin Hee-Chul, Jun Hyuk Park, Jack Alberts, Jane Kim, Noo Ri Song, Si Ah Jin, Yoon Seo Choi, Seung Un Hwang","United States, South Korea",6300,,"Drama, Romance",tt13238346,Movie,94,Past Lives,https://m.media-amazon.com/images/M/MV5BOTkzYmMxNTItZDAxNC00NGM0LWIyODMtMWYzMzRkMjIyMTE1XkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_.jpg,7.9,2023,"Nora and Hae Sung, two deeply connected childhood friends, are wrested apart after Nora's family emigrates from South Korea. Twenty years later, they are reunited for one fateful week as they confront notions of love and destiny.",Past Lives,105424,38015713
TV-PG,,"Iain Armitage, Zoe Perry, Montana Jordan, Raegan Revord, Lance Barber, Jim Parsons, Annie Potts, Wallace Shawn, Wyatt McClure, Matt Hobby, Craig T. Nelson, Melissa Peterman, Ed Begley Jr., Doc Farrow, Emily Osment, Ryan Phuong, Rex Linn, Brian Stepanek",United States,1800,2024,Comedy,tt6226232,TV Series,,Young Sheldon,https://m.media-amazon.com/images/M/MV5BZTlmYjk0ZTItODNhMC00YmIyLWExZWEtYjk0YWQzMGNhOTZmXkEyXkFqcGdeQXVyMTY0Njc2MTUx._V1_.jpg,7.6,2017,"Meet a child genius named Sheldon Cooper (already seen as an adult in The Big Bang Theory (2007)) and his family. Some unique challenges face Sheldon, who is socially impaired.",Young Sheldon,98635,
TV-MA,,"Violett Beane, Lauren Patten, Angela Zhou, Hugo Diego Garcia, Pardis Saremi, Linda Emond, Mandy Patinkin, Jack Cutmore-Scott, Danny Johnson, Karoline, Jayne Atkinson, Rahul Kohli, Jere Burns, Lisa Lu, David Marshall Grant, Annie Q. Riegel, Sincere Wilbert, Tamberla Perry",United States,3600,,"Crime, Drama, Mystery",tt15439048,TV Series,,Death and Other Details,https://m.media-amazon.com/images/M/MV5BZWZiYzZjYzAtZjQ4My00MjEyLWJhNWUtYWQ5ZGI4NDVkNTVkXkEyXkFqcGdeQXVyMzUwNDIxMjQ@._V1_.jpg,6.8,2024,"Detective Rufus Cotesworth and his protégé, Imogene, dig for the truth on a Mediterranean ocean liner where everyone is hiding something.",Death and Other Details,8303,
R,66100991,"Jason Statham, Emmy Raver-Lampman, Bobby Naderi, Josh Hutcherson, Jeremy Irons, David Witts, Michael Epp, Taylor James, Phylicia Rashad, Jemma Redgrave, Minnie Driver, Don Gilet, Sophia Feliciano, Enzo Cilenti, Megan Le, Dan Li, Georgia Goodman, Derek Siow","United States, United Kingdom",6300,,"Action, Thriller",tt15314262,Movie,54,The Beekeeper,https://m.media-amazon.com/images/M/MV5BZjQwYjU3OTYtMWVhMi00N2Y2LWEzMDgtMzViN2U4NWI1NmI3XkEyXkFqcGdeQXVyODk2NDQ3MTA@._V1_.jpg,6.4,2024,"One man's brutal campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as ""Beekeepers"".",The Beekeeper,69632,152600991
TV-Y7-FV,,"Dee Bradley Baker, Zach Tyler Eisen, Mae Whitman, Jack De Sena, Dante Basco, Michaela Jill Murphy, Mako, Grey Griffin, André Sogliuzzo, Cricket Leigh, Mark Hamill, Jennie Kwan, Olivia Hack, Greg Baldwin, Jim Meskimen, James Garrett, Jason Isaacs, James Sie",United States,1380,2008,"Animation, Action, Adventure",tt0417299,TV Series,,Avatar: The Last Airbender,https://m.media-amazon.com/images/M/MV5BODc5YTBhMTItMjhkNi00ZTIxLWI0YjAtNTZmOTY0YjRlZGQ0XkEyXkFqcGdeQXVyODUwNjEzMzg@._V1_.jpg,9.3,2005,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",Avatar: The Last Airbender,366609,
TV-14,,"Mariska Hargitay, Christopher Meloni, Ice-T, Dann Florek, Richard Belzer, Kelli Giddish, BD Wong, Tamara Tunie, Peter Scanavino, Raúl Esparza, Diane Neal, Stephanie March, Danny Pino, Mike Doyle, Octavio Pisano, Joel de la Fuente, Joanna Merlin, Caren Browning",United States,3600,,"Crime, Drama, Mystery",tt0203259,TV Series,,Law & Order: Special Victims Unit,https://m.media-amazon.com/images/M/MV5BMjU2OWExZTAtMzg0My00NjFjLThiM2YtNmI1Y2RkY2M0ZGVkXkEyXkFqcGdeQXVyMTUwMzM5ODkz._V1_.jpg,8.1,1999,"This series follows the Special Victims Unit, a specially trained squad of detectives in the New York City Police Department that investigate sexually related crimes.",Law & Order: Special Victims Unit,123285,
TV-PG,,"Ming-Na Wen, Dee Bradley Baker, Michelle Ang, Noshir Dalal, Rhea Perlman, Ben Diskin, Gwendoline Yeo, Liam O'Brien, Stephen Stanton, Jimmi Simpson, Sam Riegel, Jonathan Lipow, Keisha Castle-Hughes, Bob Bergen, Shelby Young, Wanda Sykes, Matthew Wood, Corey Burton",United States,1800,2024,"Animation, Action, Adventure",tt12708542,TV Series,,Star Wars: The Bad Batch,https://m.media-amazon.com/images/M/MV5BZWU5Mjg5ZDctOWZmMi00ZjQ4LTkzYzYtY2FkY2E4YWIxMGNkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_.jpg,7.8,2021,The 'Bad Batch' of elite and experimental clones make their way through an ever-changing galaxy in the immediate aftermath of the Clone Wars.,Star Wars: The Bad Batch,50853,
TV-PG,,"Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg, Kunal Nayyar, Melissa Rauch, Mayim Bialik, Kevin Sussman, Carol Ann Susi, John Ross Bowie, Laura Spencer, Wil Wheaton, Brian George, Christine Baranski, Brian Posehn, Laurie Metcalf, Joshua Malina, Ian Scott Rudolph",United States,1320,2019,"Comedy, Romance",tt0898266,TV Series,,The Big Bang Theory,https://m.media-amazon.com/images/M/MV5BY2FmZTY5YTktOWRlYy00NmIyLWE0ZmQtZDg2YjlmMzczZDZiXkEyXkFqcGdeQXVyNjg4NzAyOTA@._V1_.jpg,8.1,2007,A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.,The Big Bang Theory,863520,
TV-MA,,"Karl Urban, Jack Quaid, Antony Starr, Erin Moriarty, Jessie T. Usher, Laz Alonso, Chace Crawford, Tomer Capone, Karen Fukuhara, Nathan Mitchell, Colby Minifie, Dominique McElligott, Claudia Doumit, Cameron Crovetti, Nneka Elliott, Laila Robins, Aya Cash, Katy Breier",United States,3600,,"Action, Comedy, Crime",tt1190634,TV Series,,The Boys,https://m.media-amazon.com/images/M/MV5BODI5NDUxNjAtZTIxYS00N2M1LWI5NmItODBmM2QyNTU4ZDY4XkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_.jpg,8.7,2019,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,The Boys,640631,
R,,"Nell Tiger Free, Bill Nighy, Charles Dance, Ralph Ineson, Sonia Braga, Alessia Bonacci, Maria Caballero, Milena Bozic, Andrea Arcangeli, Ishtar Currie-Wilson, Nicole Sorace, Mia McGovern Zaini, Anton Alexander, Tawfeek Barhom, Sylvia Panacione, Peter Arpesella, James Swanton, Claudia Delli Noci","United States, Italy, United Kingdom",7200,,Horror,tt5672290,Movie,,The First Omen,https://m.media-amazon.com/images/M/MV5BMzI2YmYwZWYtNzgzNi00ODU2LWE1NWMtZmY4NTJjYzIyNTIxXkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_.jpg,,2024,"A young American woman is sent to Rome to begin a life of service to the church, but encounters a darkness that causes her to question her faith and uncovers a terrifying conspiracy that hopes to bring about the birth of evil incarnate.",The First Omen,0,
R,,"Dev Patel, Sharlto Copley, Pitobash, Sobhita Dhulipala, Adithi Kalkunte, Sikandar Kher, Brahim Chab, Vipin Sharma, Jino A. Samuel, Joseph J.U. Taylor, Nagesh Bhonsle, Alona Vykydanets, Reva Marchellin, Anup J. Patel, Andres Levi, Dayangku Zyana, Jeremy Tauziac, Fahad Scale","United States, Canada, Singapore, India",6780,,"Action, Thriller",tt9214772,Movie,70,Monkey Man,https://m.media-amazon.com/images/M/MV5BNzZlODVjMzgtZGM1Yi00MWMwLTkyYTQtMzJlZjQ4MDgwYzg4XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_.jpg,7.9,2024,An anonymous young man unleashes a campaign of vengeance against the corrupt leaders who murdered his mother and continue to systemically victimize the poor and powerless.,Monkey Man,309,
PG-13,165000000,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy, Ellen Burstyn, John Lithgow, Timothée Chalamet, David Oyelowo, Collette Wolfe, Francis X. McCarthy, Bill Irwin, Andrew Borba, Wes Bentley, William Devane, Michael Caine, David Gyasi, Josh Stewart, Casey Affleck","United States, United Kingdom, Canada",10140,,"Adventure, Drama, Sci-Fi",tt0816692,Movie,74,Interstellar,https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,8.7,2014,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",Interstellar,2079697,733202212
R,4050103,"Andrew Scott, Paul Mescal, Carter John Grout, Jamie Bell, Claire Foy, Ami Tredrea, Cameron Ashplant, Lincoln R. Beckett, Jack Cronin, Christian Di Sciullo, Oliver Franks, Hussein Kutsi, Gsus Lopez, Jack Pallister, Guy Robbins, Darren Ryames, Zachary Timmis, Sean Tizzard","United Kingdom, United States",6300,,"Drama, Fantasy, Romance",tt21192142,Movie,90,All of Us Strangers,https://m.media-amazon.com/images/M/MV5BZmYzMjMzN2EtMGYwNi00ODc3LWI3YTctMjA5YjI1MGFkYTlhXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg,7.8,2023,A screenwriter drawn back to his childhood home enters into a fledgling relationship with his downstairs neighbor while discovering a mysterious new way to heal from losing his parents 30 years ago.,All of Us Strangers,34925,18519263
R,,"Sydney Sweeney, Álvaro Morte, Simona Tabasco, Benedetta Porcaroli, Giorgio Colangeli, Dora Romano, Giulia Heathfield Di Renzi, Giampiero Judica, Betty Pedrazzi, Giuseppe Lo Piccolo, Cristina Chinaglia, Niccolò Senni, Isabel Desantis, Viviane Florentine Nicolai, Marisa Regina, Laura Camassa, Cinzia Fantauzzi, Tiziano Ferracci","Italy, United States",5340,,Horror,tt23137390,Movie,48,Immaculate,https://m.media-amazon.com/images/M/MV5BNmYyZGQzM2YtYTY3My00NGE5LWIzMmQtMDIxMTFhMGIxZDhhXkEyXkFqcGdeQXVyMTY0Njc2MTUx._V1_.jpg,5.8,2024,"Cecilia, a woman of devout faith, is warmly welcomed to the picture-perfect Italian countryside where she is offered a new role at an illustrious convent. But it becomes clear to Cecilia that her new home harbors dark and horrifying secrets.",Immaculate,461,
